dive_id,datetime_start,depth,state,sector,degree,temperature,seas
1,2023-09-17T16:49:41Z,8.8,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,8.9,Before,South,24,30.25,29.1801
1,2023-09-17T16:49:41Z,9.1,Before,South,24,30.30000000000001,29.1801
1,2023-09-17T16:49:41Z,9.2,Before,South,24,30.333333333333353,29.1801
1,2023-09-17T16:49:41Z,9.3,Before,South,24,30.33000000000002,29.1801
1,2023-09-17T16:49:41Z,9.4,Before,South,24,30.30000000000001,29.1801
1,2023-09-17T16:49:41Z,9.5,Before,South,24,30.30714285714287,29.1801
1,2023-09-17T16:49:41Z,9.6,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,9.7,Before,South,24,30.30714285714287,29.1801
1,2023-09-17T16:49:41Z,9.8,Before,South,24,30.3318181818182,29.1801
1,2023-09-17T16:49:41Z,9.9,Before,South,24,30.332352941176488,29.1801
1,2023-09-17T16:49:41Z,10,Before,South,24,30.33750000000002,29.1801
1,2023-09-17T16:49:41Z,10.1,Before,South,24,30.30000000000001,29.1801
1,2023-09-17T16:49:41Z,10.2,Before,South,24,30.25,29.1801
1,2023-09-17T16:49:41Z,10.3,Before,South,24,30.275000000000006,29.1801
1,2023-09-17T16:49:41Z,10.4,Before,South,24,30.30000000000001,29.1801
1,2023-09-17T16:49:41Z,10.5,Before,South,24,30.28750000000001,29.1801
1,2023-09-17T16:49:41Z,10.6,Before,South,24,30.333333333333353,29.1801
1,2023-09-17T16:49:41Z,10.7,Before,South,24,30.31666666666668,29.1801
1,2023-09-17T16:49:41Z,10.8,Before,South,24,30.33000000000002,29.1801
1,2023-09-17T16:49:41Z,10.9,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,11.2,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,11.3,Before,South,24,30.450000000000045,29.1801
1,2023-09-17T16:49:41Z,11.4,Before,South,24,30.25,29.1801
1,2023-09-17T16:49:41Z,11.5,Before,South,24,30.25,29.1801
1,2023-09-17T16:49:41Z,11.6,Before,South,24,30.25,29.1801
1,2023-09-17T16:49:41Z,11.8,Before,South,24,30.450000000000045,29.1801
1,2023-09-17T16:49:41Z,11.9,Before,South,24,30.25,29.1801
1,2023-09-17T16:49:41Z,12,Before,South,24,30.270000000000003,29.1801
1,2023-09-17T16:49:41Z,12.2,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,12.3,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,12.4,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,12.5,Before,South,24,30.400000000000034,29.1801
1,2023-09-17T16:49:41Z,12.6,Before,South,24,30.392857142857174,29.1801
1,2023-09-17T16:49:41Z,12.7,Before,South,24,30.450000000000045,29.1801
1,2023-09-17T16:49:41Z,12.8,Before,South,24,30.370000000000026,29.1801
1,2023-09-17T16:49:41Z,12.9,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,13,Before,South,24,30.450000000000045,29.1801
1,2023-09-17T16:49:41Z,13.1,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,13.2,Before,South,24,30.30000000000001,29.1801
1,2023-09-17T16:49:41Z,13.3,Before,South,24,30.30000000000001,29.1801
1,2023-09-17T16:49:41Z,13.4,Before,South,24,30.325000000000017,29.1801
1,2023-09-17T16:49:41Z,13.5,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,13.6,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,13.7,Before,South,24,30.30000000000001,29.1801
1,2023-09-17T16:49:41Z,13.8,Before,South,24,30.350000000000023,29.1801
1,2023-09-17T16:49:41Z,13.9,Before,South,24,30.283333333333342,29.1801
1,2023-09-17T16:49:41Z,14,Before,South,24,30.250000000000018,29.1801
1,2023-09-17T16:49:41Z,14.1,Before,South,24,30.225000000000023,29.1801
1,2023-09-17T16:49:41Z,14.2,Before,South,24,30.207142857142873,29.1801
1,2023-09-17T16:49:41Z,14.3,Before,South,24,30.221428571428596,29.1801
1,2023-09-17T16:49:41Z,14.4,Before,South,24,30.150000000000034,29.1801
1,2023-09-17T16:49:41Z,14.5,Before,South,24,30.225000000000023,29.1801
1,2023-09-17T16:49:41Z,14.6,Before,South,24,30.190000000000033,29.1801
1,2023-09-17T16:49:41Z,14.7,Before,South,24,30.172222222222256,29.1801
1,2023-09-17T16:49:41Z,14.8,Before,South,24,30.162500000000023,29.1801
1,2023-09-17T16:49:41Z,14.9,Before,South,24,30.04230769230772,29.1801
1,2023-09-17T16:49:41Z,15,Before,South,24,30.155000000000026,29.1801
1,2023-09-17T16:49:41Z,15.1,Before,South,24,30.09285714285717,29.1801
1,2023-09-17T16:49:41Z,15.2,Before,South,24,30.1166666666667,29.1801
1,2023-09-17T16:49:41Z,15.3,Before,South,24,30.10555555555558,29.1801
1,2023-09-17T16:49:41Z,15.4,Before,South,24,30.07727272727275,29.1801
